gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2229349976	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS691843257	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Sturnus	Sturnus vulgaris		SPECIES	Sturnus vulgaris Linnaeus, 1758	Sturnus vulgaris		US	Lake road, Merced	California		18	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.357872	-120.431779							2018-12-31T00:00:00Z	31	12	2018	9809229	9809229	HUMAN_OBSERVATION	CLO	EBIRD	OBS691843257				CC0_1_0		obsr1147350			2019-09-21T03:32:45.362Z		COORDINATE_ROUNDED
2229349103	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS691843262	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Chondestes	Chondestes grammacus		SPECIES	Chondestes grammacus (Say, 1822)	Chondestes grammacus		US	Lake road, Merced	California		8	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.357872	-120.431779							2018-12-31T00:00:00Z	31	12	2018	2491651	2491651	HUMAN_OBSERVATION	CLO	EBIRD	OBS691843262				CC0_1_0		obsr1147350			2019-09-20T17:23:26.097Z		COORDINATE_ROUNDED
2229345925	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS691843259	Animalia	Chordata	Aves	Galliformes	Odontophoridae	Callipepla	Callipepla californica		SPECIES	Callipepla californica (Shaw, 1798)	Callipepla californica		US	Lake road, Merced	California		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.357872	-120.431779							2018-12-31T00:00:00Z	31	12	2018	5228080	5228080	HUMAN_OBSERVATION	CLO	EBIRD	OBS691843259				CC0_1_0		obsr1147350			2019-09-20T16:48:24.751Z		COORDINATE_ROUNDED
2228515764	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS678037314	Animalia	Chordata	Aves	Pelecaniformes	Pelecanidae	Pelecanus	Pelecanus erythrorhynchos		SPECIES	Pelecanus erythrorhynchos Gmelin, 1789	Pelecanus erythrorhynchos		US	Lake Yosemite	California		7	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.377	-120.43							2018-11-16T00:00:00Z	16	11	2018	5229155	5229155	HUMAN_OBSERVATION	CLO	EBIRD	OBS678037314				CC0_1_0		obsr292969			2019-09-21T01:08:28.917Z		
2228514621	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS678037310	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Calypte	Calypte anna		SPECIES	Calypte anna (Lesson, 1829)	Calypte anna		US	Lake Yosemite	California		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.377	-120.43							2018-11-16T00:00:00Z	16	11	2018	2476674	2476674	HUMAN_OBSERVATION	CLO	EBIRD	OBS678037310				CC0_1_0		obsr292969			2019-09-20T16:50:25.772Z		
2228504969	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS678037292	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Sayornis	Sayornis nigricans		SPECIES	Sayornis nigricans (Swainson, 1827)	Sayornis nigricans		US	Lake Yosemite	California		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.377	-120.43							2018-11-16T00:00:00Z	16	11	2018	2483612	2483612	HUMAN_OBSERVATION	CLO	EBIRD	OBS678037292				CC0_1_0		obsr292969			2019-09-21T02:29:26.699Z		
2228491419	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS678037311	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	Setophaga coronata		SPECIES	Setophaga coronata (Linnaeus, 1766)	Setophaga coronata		US	Lake Yosemite	California		9	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.377	-120.43							2018-11-16T00:00:00Z	16	11	2018	7341805	7341805	HUMAN_OBSERVATION	CLO	EBIRD	OBS678037311				CC0_1_0		obsr292969			2019-09-20T23:08:40.991Z		
2228490569	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS678037316	Animalia	Chordata	Aves	Piciformes	Picidae	Dryobates	Dryobates nuttallii		SPECIES	Dryobates nuttallii	Dryobates nuttallii		US	Lake Yosemite	California		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.377	-120.43							2018-11-16T00:00:00Z	16	11	2018	9088491	9088491	HUMAN_OBSERVATION	CLO	EBIRD	OBS678037316				CC0_1_0		obsr292969			2019-09-20T18:30:22.803Z		
2226765936	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS691843260	Animalia	Chordata	Aves	Passeriformes	Icteridae	Agelaius	Agelaius phoeniceus		SPECIES	Agelaius phoeniceus (Linnaeus, 1766)	Agelaius phoeniceus		US	Lake road, Merced	California		20	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.357872	-120.431779							2018-12-31T00:00:00Z	31	12	2018	9409198	9409198	HUMAN_OBSERVATION	CLO	EBIRD	OBS691843260				CC0_1_0		obsr1147350			2019-09-20T15:18:16.411Z		COORDINATE_ROUNDED
2226302988	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS675238308	Animalia	Chordata	Aves	Passeriformes	Mimidae	Mimus	Mimus polyglottos		SPECIES	Mimus polyglottos (Linnaeus, 1758)	Mimus polyglottos		US	Lake Yosemite Co. Park	California		3	e2e717bf-551a-4917-bdc9-4fa0f342c530	37.37125	-120.42867							2018-11-10T00:00:00Z	10	11	2018	5231677	5231677	HUMAN_OBSERVATION	CLO	EBIRD	OBS675238308				CC0_1_0		obsr990157			2019-09-21T00:19:08.476Z		
